path, orbit, block, line, sample, lat, lon, an, ca, cf, rms_atm, rms_model, rms_ad_model, weight, tweight, ascend
86, 88112, 28, 228, 1604, 75.253890, 210.073541, 0.140860, 0.336049, 0.534741, 10.196250, 12.530145, 11.246667, 0.500000, 4.000000, 0
86, 88112, 28, 229, 1604, 75.251556, 210.073763, 0.151195, 0.347212, 0.546453, 9.776000, 8.750377, 9.130000, 0.500000, 2.500000, 0
86, 88112, 28, 229, 1605, 75.250098, 210.073907, 0.154407, 0.341756, 0.553289, 9.130000, 8.971268, 8.721250, 0.500000, 3.500000, 0
86, 88112, 28, 230, 1605, 75.248058, 210.074121, 0.157054, 0.345791, 0.560807, 8.665000, 8.777857, 8.548333, 0.500000, 3.000000, 0
86, 88112, 28, 230, 1606, 75.246308, 210.074310, 0.156353, 0.341873, 0.558977, 7.734000, 8.648933, 8.915385, 0.500000, 2.500000, 0
86, 88112, 28, 231, 1606, 75.244849, 210.074468, 0.177167, 0.337102, 0.568450, 7.412857, 7.647627, 3.605000, 0.500000, 3.500000, 0
86, 88112, 28, 40, 1433, 75.879011, 209.999873, 0.039791, 0.118551, 0.490689, 8.666667, 8.182500, 9.660000, 0.500000, 3.000000, 0
86, 88112, 28, 40, 1434, 75.876144, 209.999934, 0.044186, 0.122804, 0.505988, 3.750000, 8.997778, 8.666667, 0.500000, 0.500000, 0
86, 88112, 28, 41, 1434, 75.875857, 209.999939, 0.039930, 0.110890, 0.465422, 6.088750, 12.914400, 10.630000, 0.500000, 4.000000, 0
86, 88112, 28, 41, 1435, 75.873560, 209.999967, 0.043191, 0.119397, 0.489510, 9.660000, 6.169167, 8.666667, 0.500000, 1.500000, 0
86, 88112, 28, 42, 1435, 75.872699, 209.999971, 0.038794, 0.105499, 0.445402, 16.341000, 8.897229, 10.972000, 0.500000, 5.000000, 0
86, 88112, 28, 44, 1437, 75.866085, 209.999921, 0.039924, 0.109177, 0.363413, 12.777000, 6.506500, 4.370000, 0.500000, 5.000000, 0
86, 88112, 28, 45, 1437, 75.862916, 209.999854, 0.039638, 0.100809, 0.314072, 8.696667, 6.896607, 5.301429, 0.500000, 1.500000, 0
86, 88112, 28, 45, 1438, 75.862051, 209.999839, 0.043040, 0.106196, 0.343544, 7.402500, 7.158090, 10.468333, 0.500000, 4.000000, 0
86, 88112, 28, 46, 1438, 75.859743, 209.999802, 0.045447, 0.092585, 0.303703, 7.426000, 6.312176, 13.627143, 0.500000, 2.500000, 0
86, 88112, 28, 46, 1439, 75.858300, 209.999781, 0.047006, 0.095562, 0.335440, 10.468333, 5.758148, 6.883333, 0.500000, 3.000000, 0
86, 88112, 28, 47, 1439, 75.856567, 209.999755, 0.047287, 0.082378, 0.306515, 13.627143, 6.052485, 6.555333, 0.500000, 3.500000, 0
86, 88112, 28, 52, 1444, 75.839461, 209.999815, 0.049539, 0.099504, 0.354847, 3.480000, 6.844884, 5.480000, 0.500000, 0.500000, 0
86, 88112, 28, 53, 1444, 75.837135, 209.999808, 0.078576, 0.204471, 0.377496, 3.094000, 3.910000, 3.992857, 0.500000, 2.500000, 0
86, 88112, 28, 53, 1445, 75.835681, 209.999807, 0.081834, 0.200361, 0.415308, 3.428333, 4.232045, 3.973333, 0.500000, 3.000000, 0
86, 88112, 28, 54, 1445, 75.833936, 209.999808, 0.261019, 0.359001, 0.501128, 7.061429, 16.319577, 4.223750, 0.500000, 3.500000, 0
86, 88112, 28, 54, 1446, 75.831899, 209.999806, 0.258606, 0.345539, 0.519812, 7.782000, 4.601071, 3.200000, 0.500000, 2.500000, 0
86, 88112, 28, 55, 1446, 75.830443, 209.999802, 0.393859, 0.411242, 0.547263, 8.505000, 7.675692, 8.140000, 0.500000, 4.000000, 0
86, 88112, 28, 55, 1447, 75.828113, 209.999785, 0.409431, 0.435597, 0.570194, 9.513333, 8.246466, 5.016400, 0.500000, 1.500000, 0
86, 88112, 28, 56, 1447, 75.827240, 209.999777, 0.422297, 0.447187, 0.564923, 11.580000, 8.012582, 7.650308, 0.500000, 5.500000, 0
86, 88112, 28, 60, 1450, 75.814413, 209.999660, 0.434209, 0.503559, 0.612327, 11.866667, 11.610070, 11.900278, 0.500000, 3.000000, 0
86, 88112, 28, 60, 1451, 75.812658, 209.999676, 0.391016, 0.509355, 0.623779, 32.026000, 8.475973, 7.920000, 0.500000, 2.500000, 0
86, 88112, 28, 61, 1451, 75.811196, 209.999696, 0.396089, 0.508052, 0.602224, 6.156250, 10.566389, 15.613333, 0.500000, 4.000000, 0
86, 88112, 28, 72, 1460, 75.775659, 209.999756, 0.455151, 0.473680, 0.594747, 20.120000, 9.672027, 11.689346, 0.500000, 1.500000, 0
86, 88112, 28, 72, 1461, 75.774774, 209.999764, 0.461649, 0.469287, 0.594307, 18.791250, 9.597745, 9.604375, 0.500000, 4.000000, 0
86, 88112, 28, 73, 1461, 75.772413, 209.999784, 0.442241, 0.483259, 0.581822, 50.386000, 10.115215, 13.345714, 0.500000, 2.500000, 0
86, 88112, 28, 73, 1462, 75.770937, 209.999798, 0.460902, 0.464016, 0.552671, 27.618333, 10.113647, 3.800500, 0.500000, 3.000000, 0
86, 88112, 28, 74, 1462, 75.769166, 209.999813, 0.423817, 0.404162, 0.469052, 13.180000, 6.822000, 3.778333, 0.500000, 3.500000, 0
86, 88112, 28, 74, 1463, 75.767100, 209.999828, 0.257351, 0.274186, 0.334826, 8.375000, 5.763951, 6.733333, 0.500000, 2.000000, 0
86, 88112, 28, 75, 1463, 75.765920, 209.999835, 0.102059, 0.220854, 0.285734, 7.862500, 13.340000, 3.896250, 0.500000, 4.000000, 0
86, 88112, 28, 80, 1467, 75.749672, 209.999735, 0.381620, 0.437190, 0.529590, 23.370000, 10.679681, 13.794375, 0.500000, 2.500000, 0
86, 88112, 28, 80, 1468, 75.748193, 209.999715, 0.375675, 0.436335, 0.546397, 16.738333, 9.144214, 9.435263, 0.500000, 3.000000, 0
86, 88112, 28, 81, 1468, 75.746418, 209.999700, 0.397841, 0.449168, 0.543110, 18.381429, 9.852580, 11.747333, 0.500000, 3.500000, 0
86, 88112, 28, 81, 1469, 75.744347, 209.999706, 0.404476, 0.458065, 0.561187, 17.120000, 8.173747, 9.011250, 0.500000, 2.000000, 0
86, 88112, 28, 82, 1469, 75.743162, 209.999721, 0.391446, 0.454078, 0.544191, 13.164444, 10.882194, 11.980715, 0.500000, 4.500000, 0
86, 88112, 28, 82, 1470, 75.740496, 209.999778, 0.378012, 0.451809, 0.556613, 5.780000, 9.362883, 4.408750, 0.500000, 1.000000, 0
86, 88112, 28, 83, 1470, 75.739904, 209.999793, 0.425752, 0.456301, 0.565763, 8.875000, 8.479792, 8.057357, 0.500000, 5.000000, 0
86, 88112, 28, 83, 1471, 75.736939, 209.999888, 0.409916, 0.458413, 0.555856, 13.290000, 9.532844, 8.636562, 0.500000, 0.500000, 0
86, 88112, 28, 85, 1472, 75.733084, 210.000006, 0.438534, 0.470779, 0.569756, 18.749000, 8.586147, 7.005952, 0.500000, 5.000000, 0
86, 88112, 28, 86, 1472, 75.730118, 210.000060, 0.435961, 0.484170, 0.583141, 15.023333, 10.650552, 19.351333, 0.500000, 1.500000, 0
86, 88112, 28, 86, 1473, 75.729228, 210.000071, 0.443016, 0.487694, 0.577333, 16.115000, 10.100993, 21.293704, 0.500000, 4.000000, 0
86, 88112, 28, 87, 1473, 75.726855, 210.000102, 0.439737, 0.493736, 0.573058, 26.282500, 12.556231, 16.115000, 0.500000, 2.000000, 0
86, 88112, 28, 87, 1474, 75.725668, 210.000112, 0.406954, 0.476352, 0.551993, 24.634286, 11.393734, 7.758333, 0.500000, 3.500000, 0
86, 88112, 28, 88, 1474, 75.723591, 210.000116, 0.402406, 0.472365, 0.554500, 7.758333, 10.733739, 24.634286, 0.500000, 3.000000, 0
86, 88112, 28, 88, 1475, 75.721811, 210.000102, 0.433333, 0.477866, 0.563102, 4.355000, 9.698415, 10.510000, 0.500000, 2.000000, 0
86, 88112, 28, 89, 1475, 75.720625, 210.000090, 0.433445, 0.473315, 0.576908, 5.791111, 8.553064, 10.959726, 0.500000, 4.500000, 0
86, 88112, 28, 89, 1476, 75.717954, 210.000068, 0.439510, 0.484183, 0.590028, 13.445000, 10.404994, 17.709057, 0.500000, 1.000000, 0
86, 88112, 28, 90, 1476, 75.717361, 210.000066, 0.436514, 0.479490, 0.604113, 9.549091, 9.407634, 4.271667, 0.500000, 5.500000, 0
86, 88112, 28, 91, 1477, 75.714096, 210.000050, 0.442125, 0.474226, 0.634986, 20.455455, 7.819421, 6.616087, 0.500000, 5.500000, 0
86, 88112, 28, 92, 1477, 75.710829, 210.000028, 0.443931, 0.472924, 0.641723, 15.230000, 8.346827, 10.835000, 0.500000, 1.000000, 0
86, 88112, 28, 92, 1478, 75.710235, 210.000025, 0.418504, 0.460489, 0.616712, 12.055556, 7.682053, 20.382222, 0.500000, 4.500000, 0
86, 88112, 28, 93, 1478, 75.707562, 210.000013, 0.382611, 0.433631, 0.605800, 4.232500, 7.720606, 10.724444, 0.500000, 2.000000, 0
86, 88112, 28, 93, 1479, 75.706373, 210.000007, 0.386415, 0.438990, 0.595759, 12.422857, 7.675200, 5.582593, 0.500000, 3.500000, 0
86, 88112, 28, 94, 1479, 75.704293, 209.999997, 0.372412, 0.428372, 0.585555, 15.794000, 8.146597, 13.776667, 0.500000, 2.500000, 0
86, 88112, 28, 94, 1480, 75.702806, 209.999994, 0.351792, 0.431189, 0.579892, 8.946667, 6.940480, 6.247693, 0.500000, 3.000000, 0
86, 88112, 28, 95, 1480, 75.701023, 209.999993, 0.372097, 0.441326, 0.580844, 3.925714, 8.697035, 7.157143, 0.500000, 3.500000, 0
86, 88112, 28, 95, 1481, 75.698942, 209.999994, 0.401595, 0.453883, 0.576311, 6.472500, 8.112875, 6.923580, 0.500000, 2.000000, 0
86, 88112, 28, 96, 1481, 75.697752, 209.999998, 0.420766, 0.456395, 0.572463, 17.330000, 7.422519, 4.492000, 0.500000, 4.500000, 0
86, 88112, 28, 96, 1482, 75.695077, 210.000005, 0.388573, 0.439165, 0.573577, 7.935000, 8.350554, 21.248571, 0.500000, 1.000000, 0
86, 88112, 28, 97, 1482, 75.694482, 210.000003, 0.356789, 0.412177, 0.581868, 11.322000, 7.483451, 9.192433, 0.500000, 5.000000, 0
86, 88112, 28, 98, 1482, 75.691510, 209.999975, 0.329525, 0.391262, 0.598910, 7.150000, 6.360000, 5.975000, 0.500000, 0.500000, 0
86, 88112, 28, 98, 1483, 75.691213, 209.999973, 0.416883, 0.452369, 0.634320, 5.936000, 9.380417, 8.927222, 0.500000, 5.000000, 0
86, 88112, 28, 99, 1483, 75.688242, 209.999955, 0.426029, 0.467865, 0.640348, 11.920000, 10.940171, 5.235789, 0.500000, 1.000000, 0
86, 88112, 28, 99, 1484, 75.687648, 209.999955, 0.442250, 0.494530, 0.638497, 20.148889, 11.523750, 11.791111, 0.500000, 4.500000, 0
77, 88126, 30, 12, 417, 75.224074, 210.076159, 0.195369, 0.329028, 0.596508, 9.923333, 9.379459, 12.963636, 0.500000, 4.500000, 0
77, 88126, 30, 124, 477, 74.911609, 210.096752, 0.367662, 0.454689, 0.667313, 5.960000, 9.319328, 5.738666, 0.500000, 5.000000, 0
77, 88126, 30, 125, 477, 74.908814, 210.096109, 0.360803, 0.454802, 0.666596, 5.994444, 9.140234, 5.743448, 0.500000, 4.500000, 0
77, 88126, 30, 126, 478, 74.906302, 210.095516, 0.361190, 0.455458, 0.661760, 5.690000, 8.692179, 5.828666, 0.500000, 5.000000, 0
77, 88126, 30, 127, 478, 74.903511, 210.094853, 0.360487, 0.459402, 0.662684, 5.562222, 8.318943, 5.861290, 0.500000, 4.500000, 0
77, 88126, 30, 128, 478, 74.900994, 210.094317, 0.368263, 0.460746, 0.661694, 5.625000, 8.854021, 5.743448, 0.500000, 1.000000, 0
77, 88126, 30, 128, 479, 74.900435, 210.094211, 0.375095, 0.468809, 0.667559, 5.921250, 7.549559, 5.668000, 0.500000, 4.000000, 0
77, 88126, 30, 129, 479, 74.898195, 210.093799, 0.376033, 0.470154, 0.672312, 5.827000, 7.337807, 5.268667, 0.500000, 5.000000, 0
77, 88126, 30, 130, 479, 74.895394, 210.093298, 0.373826, 0.472318, 0.672826, 5.462500, 7.876197, 5.497619, 0.500000, 2.000000, 0
77, 88126, 30, 13, 418, 75.221442, 210.076413, 0.209687, 0.336597, 0.594564, 9.544000, 8.648437, 9.852857, 0.500000, 5.000000, 0
77, 88126, 30, 139, 484, 74.870746, 210.089385, 0.402465, 0.481652, 0.716462, 4.692500, 6.096392, 5.264000, 0.500000, 4.000000, 0
77, 88126, 30, 14, 418, 75.218520, 210.076724, 0.213817, 0.336870, 0.596901, 9.852857, 8.554084, 9.059091, 0.500000, 3.500000, 0
77, 88126, 30, 14, 419, 75.216475, 210.076969, 0.218497, 0.341687, 0.592068, 9.013333, 7.768333, 8.962381, 0.500000, 1.500000, 0
77, 88126, 30, 148, 488, 74.846615, 210.086483, 0.336426, 0.462302, 0.672521, 5.796000, 5.729867, 6.804286, 0.500000, 5.000000, 0
77, 88126, 30, 149, 488, 74.843785, 210.086801, 0.338049, 0.455314, 0.668118, 6.052000, 6.008214, 5.796000, 0.500000, 2.500000, 0
77, 88126, 30, 149, 489, 74.842367, 210.087039, 0.339820, 0.455173, 0.657450, 5.786000, 6.421617, 5.015556, 0.500000, 2.500000, 0
77, 88126, 30, 150, 489, 74.840948, 210.087321, 0.322595, 0.449279, 0.648952, 5.417000, 8.119669, 5.465000, 0.500000, 5.000000, 0
77, 88126, 30, 151, 489, 74.838108, 210.088009, 0.326130, 0.454174, 0.640181, 5.465000, 7.886178, 5.417000, 0.500000, 1.000000, 0
77, 88126, 30, 151, 490, 74.837540, 210.088168, 0.351799, 0.472195, 0.639757, 5.281250, 9.053883, 6.649714, 0.500000, 4.000000, 0
77, 88126, 30, 152, 490, 74.835265, 210.088891, 0.383053, 0.475996, 0.651607, 5.402500, 7.856894, 10.594286, 0.500000, 4.000000, 0
77, 88126, 30, 152, 491, 74.832988, 210.089760, 0.345496, 0.470665, 0.638347, 4.855000, 9.964878, 7.543611, 0.500000, 1.000000, 0
77, 88126, 30, 153, 491, 74.832419, 210.089998, 0.315712, 0.468322, 0.635176, 5.204545, 11.872514, 7.160371, 0.500000, 5.500000, 0
77, 88126, 30, 15, 419, 75.215599, 210.077084, 0.220698, 0.340858, 0.591651, 8.535556, 7.715500, 9.228667, 0.500000, 4.500000, 0
77, 88126, 30, 154, 491, 74.829285, 210.091441, 0.350377, 0.469938, 0.635419, 4.905000, 8.890512, 4.520000, 0.500000, 1.000000, 0
77, 88126, 30, 154, 492, 74.828715, 210.091724, 0.311596, 0.465563, 0.625028, 4.752500, 12.091533, 16.410000, 0.500000, 4.000000, 0
77, 88126, 30, 155, 492, 74.826436, 210.092905, 0.303116, 0.464449, 0.628549, 4.895714, 9.276409, 17.458077, 0.500000, 3.500000, 0
77, 88126, 30, 155, 493, 74.824441, 210.094002, 0.274578, 0.451610, 0.612015, 6.172500, 14.262000, 13.828000, 0.500000, 2.000000, 0
77, 88126, 30, 16, 419, 75.212970, 210.077456, 0.220145, 0.344848, 0.590545, 8.484000, 7.733433, 8.655000, 0.500000, 2.500000, 0
77, 88126, 30, 16, 420, 75.211510, 210.077686, 0.217528, 0.354346, 0.584060, 8.324000, 9.237640, 8.054000, 0.500000, 2.500000, 0
77, 88126, 30, 169, 512, 74.773494, 210.197980, 0.330239, 0.485029, 0.663848, 7.535000, 8.482366, 5.539444, 0.500000, 3.000000, 0
77, 88126, 30, 169, 513, 74.772275, 210.203677, 0.298869, 0.454611, 0.647742, 7.727500, 5.289546, 5.328571, 0.500000, 4.000000, 0
77, 88126, 30, 169, 514, 74.770661, 210.211337, 0.282092, 0.445878, 0.635045, 7.410000, 13.226107, 21.666250, 0.500000, 3.500000, 0
77, 88126, 30, 169, 515, 74.769253, 210.218055, 0.271043, 0.446282, 0.631894, 5.896250, 21.835733, 29.935294, 0.500000, 4.000000, 0
77, 88126, 30, 172, 526, 74.750532, 210.307186, 0.371156, 0.503273, 0.692168, 4.630000, 5.424500, 4.152500, 0.500000, 0.500000, 0
77, 88126, 30, 172, 527, 74.750330, 210.308141, 0.345661, 0.484319, 0.666799, 4.081250, 7.374194, 3.412857, 0.500000, 4.000000, 0
77, 88126, 30, 173, 532, 74.742489, 210.345250, 0.521837, 0.554042, 0.742603, 24.997500, 7.374731, 4.777143, 0.500000, 4.000000, 0
77, 88126, 30, 17, 420, 75.210050, 210.077928, 0.219178, 0.359024, 0.581301, 8.054000, 10.465616, 7.803750, 0.500000, 5.000000, 0
77, 88126, 30, 18, 420, 75.207130, 210.078442, 0.220965, 0.364390, 0.578679, 6.936667, 12.593125, 8.054000, 0.500000, 1.500000, 0
77, 88126, 30, 18, 421, 75.206254, 210.078604, 0.219587, 0.372923, 0.572195, 6.960000, 14.754277, 17.430357, 0.500000, 3.000000, 0
77, 88126, 30, 185, 550, 74.695349, 210.446880, 0.492216, 0.560103, 0.776979, 12.606250, 7.841247, 8.714400, 0.500000, 4.000000, 0
77, 88126, 30, 185, 551, 74.693083, 210.447695, 0.494386, 0.559278, 0.781318, 11.955000, 8.336649, 10.391379, 0.500000, 1.000000, 0
77, 88126, 30, 186, 551, 74.692518, 210.447889, 0.491092, 0.560747, 0.781823, 12.240000, 7.996840, 7.278966, 0.500000, 5.500000, 0
77, 88126, 30, 187, 551, 74.689404, 210.448965, 0.502229, 0.561126, 0.779468, 13.596667, 7.614315, 12.278750, 0.500000, 1.500000, 0
77, 88126, 30, 187, 552, 74.688555, 210.449262, 0.514063, 0.565066, 0.777545, 11.594286, 7.473234, 10.549268, 0.500000, 3.500000, 0
77, 88126, 30, 193, 556, 74.670652, 210.456262, 0.544206, 0.588807, 0.779682, 11.108333, 6.688837, 14.012105, 0.500000, 3.000000, 0
