path, orbit, block, line, sample, lat, lon, an, ca, cf, rms, weight, npts, cloud, var
82, 88170, 31, 38, 328, 74.122979, 199.435570, 17.385253, 17.461748, -999999.000000, 7.892222, 0.500000, 4.500000, 1, 4.239816
93, 88127, 29, 52, 1912, 74.129692, 199.405884, 17.385253, 17.461748, -999999.000000, 12.213750, 0.500000, 4.000000, 1, 1.464982
93, 88127, 29, 52, 1911, 74.131224, 199.399082, 17.385253, 17.461748, -999999.000000, 7.803750, 0.500000, 4.000000, 1, 1.717774
93, 88127, 29, 52, 1910, 74.132759, 199.392283, 17.385253, 17.461748, -999999.000000, 9.036250, 0.500000, 4.000000, 1, 3.045730
93, 88127, 29, 52, 1909, 74.134296, 199.385486, 17.385253, 17.461748, -999999.000000, 9.031250, 0.500000, 4.000000, 1, 5.542873
93, 88127, 29, 52, 1908, 74.135832, 199.378687, 17.385253, 17.461748, -999999.000000, 9.810000, 0.500000, 4.500000, 1, 3.955064
93, 88127, 29, 52, 1907, 74.137560, 199.371049, 17.385253, 17.461748, -999999.000000, 8.027500, 0.500000, 4.000000, 1, 2.979093
93, 88127, 29, 52, 1906, 74.139097, 199.364281, 17.385253, 17.461748, -999999.000000, 10.256250, 0.500000, 4.000000, 1, 3.850902
93, 88127, 29, 52, 1905, 74.140631, 199.357530, 17.385253, 17.461748, -999999.000000, 5.501250, 0.500000, 4.000000, 1, 0.665797
93, 88127, 29, 52, 1904, 74.142161, 199.350790, 17.385253, 17.461748, -999999.000000, 8.555000, 0.500000, 3.000000, 1, 4.269823
93, 88127, 29, 53, 1904, 74.143307, 199.345743, 17.385253, 17.461748, -999999.000000, 6.020000, 0.500000, 1.000000, 1, 0.600000
93, 88127, 29, 53, 1903, 74.143689, 199.344063, 17.385253, 17.461748, -999999.000000, 7.477778, 0.500000, 4.500000, 1, 0.987272
93, 88127, 29, 53, 1902, 74.145407, 199.336519, 17.385253, 17.461748, -999999.000000, 7.435000, 0.500000, 4.000000, 1, 3.246340
93, 88127, 29, 53, 1901, 74.146933, 199.329829, 17.385253, 17.461748, -999999.000000, 5.298750, 0.500000, 4.000000, 1, 0.534192
93, 88127, 29, 53, 1900, 74.148456, 199.323148, 17.385253, 17.461748, -999999.000000, 4.977778, 0.500000, 4.500000, 1, 0.827080
93, 88127, 29, 53, 1899, 74.150168, 199.315644, 17.385253, 17.461748, -999999.000000, 5.285000, 0.500000, 4.000000, 1, 0.473366
93, 88127, 29, 53, 1898, 74.151689, 199.308986, 17.385253, 17.461748, -999999.000000, 12.386250, 0.500000, 4.000000, 1, 6.686337
93, 88127, 29, 53, 1897, 74.153209, 199.302346, 17.385253, 17.461748, -999999.000000, 7.734444, 0.500000, 4.500000, 1, 1.994877
93, 88127, 29, 53, 1896, 74.154919, 199.294892, 17.385253, 17.461748, -999999.000000, 8.326250, 0.500000, 4.000000, 1, 1.850844
93, 88127, 29, 53, 1895, 74.156439, 199.288277, 17.385253, 17.461748, -999999.000000, 8.431250, 0.500000, 4.000000, 1, 2.188935
93, 88127, 29, 53, 1894, 74.157958, 199.281678, 17.385253, 17.461748, -999999.000000, 6.950000, 0.500000, 4.500000, 1, 2.449440
93, 88127, 29, 53, 1893, 74.159666, 199.274265, 17.385253, 17.461748, -999999.000000, 5.602500, 0.500000, 4.000000, 1, 1.139010
93, 88127, 29, 53, 1892, 74.161184, 199.267688, 17.385253, 17.461748, -999999.000000, 5.958750, 0.500000, 4.000000, 1, 2.592901
93, 88127, 29, 53, 1891, 74.162700, 199.261118, 17.385253, 17.461748, -999999.000000, 7.945556, 0.500000, 4.500000, 1, 1.869778
93, 88127, 29, 53, 1890, 74.164409, 199.253745, 17.385253, 17.461748, -999999.000000, 4.688750, 0.500000, 4.000000, 1, 0.499861
93, 88127, 29, 53, 1889, 74.165927, 199.247193, 17.385253, 17.461748, -999999.000000, 5.450000, 0.500000, 4.500000, 1, 1.664612
93, 88127, 29, 53, 1888, 74.167635, 199.239824, 17.385253, 17.461748, -999999.000000, 4.677500, 0.500000, 4.000000, 1, 0.366256
93, 88127, 29, 53, 1887, 74.169154, 199.233271, 17.385253, 17.461748, -999999.000000, 4.706250, 0.500000, 4.000000, 1, 0.603696
93, 88127, 29, 53, 1886, 74.170673, 199.226709, 17.385253, 17.461748, -999999.000000, 4.840000, 0.500000, 4.500000, 1, 0.595091
93, 88127, 29, 53, 1885, 74.172385, 199.219316, 17.385253, 17.461748, -999999.000000, 5.557500, 0.500000, 4.000000, 1, 0.224875
93, 88127, 29, 53, 1884, 74.173909, 199.212743, 17.385253, 17.461748, -999999.000000, 5.036250, 0.500000, 4.000000, 1, 0.251492
93, 88127, 29, 53, 1883, 74.175438, 199.206172, 17.385253, 17.461748, -999999.000000, 5.547778, 0.500000, 4.500000, 1, 1.281100
93, 88127, 29, 53, 1882, 74.177160, 199.198771, 17.385253, 17.461748, -999999.000000, 8.870000, 0.500000, 4.000000, 1, 2.126993
93, 88127, 29, 53, 1881, 74.178691, 199.192181, 17.385253, 17.461748, -999999.000000, 10.937500, 0.500000, 4.000000, 1, 5.121542
93, 88127, 29, 53, 1880, 74.180220, 199.185591, 17.385253, 17.461748, -999999.000000, 15.142222, 0.500000, 4.500000, 1, 9.670623
93, 88127, 29, 53, 1879, 74.181940, 199.178186, 17.385253, 17.461748, -999999.000000, 7.078750, 0.500000, 4.000000, 1, 4.471648
93, 88127, 29, 53, 1878, 74.183467, 199.171612, 17.385253, 17.461748, -999999.000000, 8.804444, 0.500000, 4.500000, 1, 4.600121
93, 88127, 29, 53, 1877, 74.185183, 199.164221, 17.385253, 17.461748, -999999.000000, 8.255000, 0.500000, 4.000000, 1, 2.530894
93, 88127, 29, 53, 1876, 74.186705, 199.157658, 17.385253, 17.461748, -999999.000000, 6.806250, 0.500000, 4.000000, 1, 2.082594
93, 88127, 29, 53, 1875, 74.188230, 199.151109, 17.385253, 17.461748, -999999.000000, 4.414444, 0.500000, 4.500000, 1, 1.325536
93, 88127, 29, 53, 1874, 74.189944, 199.143747, 17.385253, 17.461748, -999999.000000, 3.505000, 0.500000, 4.000000, 1, 0.548703
93, 88127, 29, 53, 1873, 74.191466, 199.137207, 17.385253, 17.461748, -999999.000000, 3.760000, 0.500000, 4.500000, 1, 0.380380
